time_iso8601,stars_cumulative
2026-02-18 00:00:00+00:00,1
2026-02-19 00:00:00+00:00,5
2026-02-20 00:00:00+00:00,6
2026-02-21 00:00:00+00:00,7
2026-02-24 00:00:00+00:00,9
2026-02-25 00:00:00+00:00,18
2026-02-26 00:00:00+00:00,22
2026-02-27 00:00:00+00:00,23
2026-03-02 00:00:00+00:00,25
2026-03-04 00:00:00+00:00,27
2026-03-05 00:00:00+00:00,28
2026-03-06 00:00:00+00:00,29
2026-03-07 00:00:00+00:00,30
2026-03-08 00:00:00+00:00,33
2026-03-09 00:00:00+00:00,34
2026-03-10 00:00:00+00:00,35
2026-03-11 00:00:00+00:00,37
2026-03-12 00:00:00+00:00,40
2026-03-13 00:00:00+00:00,42
2026-03-14 00:00:00+00:00,43
2026-03-16 00:00:00+00:00,45
2026-03-18 00:00:00+00:00,49
2026-03-19 00:00:00+00:00,51
2026-03-20 00:00:00+00:00,54
2026-03-23 00:00:00+00:00,57
2026-03-24 00:00:00+00:00,62
2026-03-25 00:00:00+00:00,65
2026-03-26 00:00:00+00:00,70
2026-03-27 00:00:00+00:00,74
2026-03-28 00:00:00+00:00,78
2026-03-29 00:00:00+00:00,80
2026-03-30 00:00:00+00:00,87
2026-03-31 00:00:00+00:00,89
2026-04-01 00:00:00+00:00,92
2026-04-02 00:00:00+00:00,94
2026-04-03 00:00:00+00:00,106
2026-04-04 00:00:00+00:00,112
2026-04-05 00:00:00+00:00,118
2026-04-07 00:00:00+00:00,122
2026-04-08 00:00:00+00:00,127
2026-04-09 00:00:00+00:00,131
2026-04-10 00:00:00+00:00,133
2026-04-12 00:00:00+00:00,136
2026-04-13 00:00:00+00:00,139
2026-04-14 00:00:00+00:00,146
2026-04-15 00:00:00+00:00,153
2026-04-16 00:00:00+00:00,158
2026-04-17 00:00:00+00:00,164
2026-04-18 00:00:00+00:00,167
2026-04-19 00:00:00+00:00,168
2026-04-20 00:00:00+00:00,175
2026-04-21 00:00:00+00:00,184
2026-04-22 00:00:00+00:00,194
2026-04-23 00:00:00+00:00,197
2026-04-24 00:00:00+00:00,200
2026-04-25 00:00:00+00:00,204
2026-04-26 00:00:00+00:00,207
2026-04-27 00:00:00+00:00,212
2026-04-28 00:00:00+00:00,216
2026-04-29 00:00:00+00:00,220
2026-04-30 00:00:00+00:00,231
2026-05-01 00:00:00+00:00,238
2026-05-02 00:00:00+00:00,241
2026-05-03 00:00:00+00:00,245
2026-05-04 00:00:00+00:00,248
2026-05-05 00:00:00+00:00,249
2026-05-06 00:00:00+00:00,253
2026-05-07 00:00:00+00:00,256
2026-05-08 00:00:00+00:00,265
2026-05-09 00:00:00+00:00,268
2026-05-10 00:00:00+00:00,270
2026-05-11 00:00:00+00:00,273
2026-05-12 00:00:00+00:00,276
2026-05-13 00:00:00+00:00,277
2026-05-14 00:00:00+00:00,282
2026-05-15 00:00:00+00:00,285
2026-05-18 00:00:00+00:00,289
2026-05-19 00:00:00+00:00,292
2026-05-21 00:00:00+00:00,293
2026-05-22 00:00:00+00:00,299
2026-05-24 00:00:00+00:00,300
2026-05-25 00:00:00+00:00,302
2026-05-26 00:00:00+00:00,304
2026-05-27 00:00:00+00:00,309
2026-05-28 00:00:00+00:00,311
2026-05-29 00:00:00+00:00,312
